:START_ID(Aircraft),:END_ID(Flight)
AC1001,FL00001
AC1001,FL00002
AC1001,FL00003
AC1001,FL00004
AC1001,FL00005
AC1001,FL00006
AC1001,FL00007
AC1001,FL00008
AC1001,FL00009
AC1001,FL00010
AC1001,FL00011
AC1001,FL00012
AC1001,FL00013
AC1001,FL00014
AC1001,FL00015
AC1001,FL00016
AC1001,FL00017
AC1001,FL00018
AC1001,FL00019
AC1001,FL00020
AC1001,FL00021
AC1001,FL00022
AC1001,FL00023
AC1001,FL00024
AC1001,FL00025
AC1001,FL00026
AC1001,FL00027
AC1001,FL00028
AC1001,FL00029
AC1001,FL00030
AC1001,FL00031
AC1001,FL00032
AC1001,FL00033
AC1001,FL00034
AC1001,FL00035
AC1001,FL00036
AC1001,FL00037
AC1001,FL00038
AC1001,FL00039
AC1001,FL00040
AC1001,FL00041
AC1001,FL00042
AC1001,FL00043
AC1001,FL00044
AC1001,FL00045
AC1001,FL00046
AC1001,FL00047
AC1001,FL00048
AC1001,FL00049
AC1001,FL00050
AC1001,FL00051
AC1001,FL00052
AC1001,FL00053
AC1001,FL00054
AC1001,FL00055
AC1001,FL00056
AC1001,FL00057
AC1001,FL00058
AC1001,FL00059
AC1001,FL00060
AC1001,FL00061
AC1001,FL00062
AC1001,FL00063
AC1001,FL00064
AC1001,FL00065
AC1001,FL00066
AC1001,FL00067
AC1001,FL00068
AC1001,FL00069
AC1001,FL00070
AC1001,FL00071
AC1001,FL00072
AC1001,FL00073
AC1001,FL00074
AC1001,FL00075
AC1001,FL00076
AC1001,FL00077
AC1001,FL00078
AC1001,FL00079
AC1001,FL00080
AC1001,FL00081
AC1001,FL00082
AC1001,FL00083
AC1001,FL00084
AC1001,FL00085
AC1001,FL00086
AC1001,FL00087
AC1001,FL00088
AC1001,FL00089
AC1001,FL00090
AC1001,FL00091
AC1001,FL00092
AC1001,FL00093
AC1001,FL00094
AC1001,FL00095
AC1001,FL00096
AC1001,FL00097
AC1001,FL00098
AC1001,FL00099
AC1001,FL00100
AC1001,FL00101
AC1001,FL00102
AC1001,FL00103
AC1001,FL00104
AC1001,FL00105
AC1001,FL00106
AC1001,FL00107
AC1001,FL00108
AC1001,FL00109
AC1001,FL00110
AC1001,FL00111
AC1001,FL00112
AC1001,FL00113
AC1001,FL00114
AC1001,FL00115
AC1001,FL00116
AC1001,FL00117
AC1001,FL00118
AC1001,FL00119
AC1001,FL00120
AC1001,FL00121
AC1001,FL00122
AC1001,FL00123
AC1001,FL00124
AC1001,FL00125
AC1001,FL00126
AC1001,FL00127
AC1001,FL00128
AC1001,FL00129
AC1001,FL00130
AC1001,FL00131
AC1001,FL00132
AC1001,FL00133
AC1001,FL00134
AC1001,FL00135
AC1001,FL00136
AC1001,FL00137
AC1001,FL00138
AC1001,FL00139
AC1001,FL00140
AC1001,FL00141
AC1001,FL00142
AC1001,FL00143
AC1001,FL00144
AC1001,FL00145
AC1001,FL00146
AC1001,FL00147
AC1001,FL00148
AC1001,FL00149
AC1001,FL00150
AC1001,FL00151
AC1001,FL00152
AC1001,FL00153
AC1001,FL00154
AC1001,FL00155
AC1001,FL00156
AC1001,FL00157
AC1001,FL00158
AC1001,FL00159
AC1001,FL00160
AC1001,FL00161
AC1001,FL00162
AC1001,FL00163
AC1001,FL00164
AC1001,FL00165
AC1001,FL00166
AC1001,FL00167
AC1001,FL00168
AC1001,FL00169
AC1001,FL00170
AC1001,FL00171
AC1001,FL00172
AC1001,FL00173
AC1001,FL00174
AC1001,FL00175
AC1001,FL00176
AC1001,FL00177
AC1001,FL00178
AC1001,FL00179
AC1001,FL00180
AC1001,FL00181
AC1001,FL00182
AC1001,FL00183
AC1001,FL00184
AC1001,FL00185
AC1001,FL00186
AC1001,FL00187
AC1001,FL00188
AC1001,FL00189
AC1001,FL00190
AC1001,FL00191
AC1001,FL00192
AC1001,FL00193
AC1001,FL00194
AC1001,FL00195
AC1001,FL00196
AC1001,FL00197
AC1001,FL00198
AC1001,FL00199
AC1001,FL00200
AC1001,FL00201
AC1001,FL00202
AC1001,FL00203
AC1001,FL00204
AC1001,FL00205
AC1001,FL00206
AC1001,FL00207
AC1001,FL00208
AC1001,FL00209
AC1001,FL00210
AC1001,FL00211
AC1001,FL00212
AC1001,FL00213
AC1001,FL00214
AC1001,FL00215
AC1001,FL00216
AC1001,FL00217
AC1001,FL00218
AC1001,FL00219
AC1001,FL00220
AC1001,FL00221
AC1001,FL00222
AC1001,FL00223
AC1001,FL00224
AC1001,FL00225
AC1001,FL00226
AC1001,FL00227
AC1001,FL00228
AC1001,FL00229
AC1001,FL00230
AC1001,FL00231
AC1001,FL00232
AC1001,FL00233
AC1001,FL00234
AC1001,FL00235
AC1001,FL00236
AC1001,FL00237
AC1001,FL00238
AC1001,FL00239
AC1001,FL00240
AC1001,FL00241
AC1001,FL00242
AC1001,FL00243
AC1001,FL00244
AC1001,FL00245
AC1001,FL00246
AC1001,FL00247
AC1001,FL00248
AC1001,FL00249
AC1001,FL00250
AC1001,FL00251
AC1001,FL00252
AC1001,FL00253
AC1001,FL00254
AC1001,FL00255
AC1001,FL00256
AC1001,FL00257
AC1001,FL00258
AC1001,FL00259
AC1001,FL00260
AC1001,FL00261
AC1001,FL00262
AC1001,FL00263
AC1001,FL00264
AC1001,FL00265
AC1001,FL00266
AC1001,FL00267
AC1001,FL00268
AC1001,FL00269
AC1001,FL00270
AC1001,FL00271
AC1001,FL00272
AC1001,FL00273
AC1001,FL00274
AC1001,FL00275
AC1001,FL00276
AC1001,FL00277
AC1001,FL00278
AC1001,FL00279
AC1001,FL00280
AC1001,FL00281
AC1001,FL00282
AC1001,FL00283
AC1001,FL00284
AC1001,FL00285
AC1001,FL00286
AC1001,FL00287
AC1001,FL00288
AC1001,FL00289
AC1001,FL00290
AC1001,FL00291
AC1001,FL00292
AC1001,FL00293
AC1001,FL00294
AC1001,FL00295
AC1001,FL00296
AC1001,FL00297
AC1001,FL00298
AC1001,FL00299
AC1001,FL00300
AC1001,FL00301
AC1001,FL00302
AC1001,FL00303
AC1001,FL00304
AC1001,FL00305
AC1001,FL00306
AC1001,FL00307
AC1001,FL00308
AC1001,FL00309
AC1001,FL00310
AC1001,FL00311
AC1001,FL00312
AC1001,FL00313
AC1001,FL00314
AC1001,FL00315
AC1001,FL00316
AC1001,FL00317
AC1001,FL00318
AC1001,FL00319
AC1001,FL00320
AC1001,FL00321
AC1001,FL00322
AC1001,FL00323
AC1001,FL00324
AC1001,FL00325
AC1001,FL00326
AC1001,FL00327
AC1001,FL00328
AC1001,FL00329
AC1001,FL00330
AC1001,FL00331
AC1001,FL00332
AC1001,FL00333
AC1001,FL00334
AC1001,FL00335
AC1001,FL00336
AC1001,FL00337
AC1001,FL00338
AC1001,FL00339
AC1001,FL00340
AC1001,FL00341
AC1001,FL00342
AC1001,FL00343
AC1001,FL00344
AC1001,FL00345
AC1001,FL00346
AC1001,FL00347
AC1001,FL00348
AC1001,FL00349
AC1001,FL00350
AC1001,FL00351
AC1001,FL00352
AC1001,FL00353
AC1001,FL00354
AC1001,FL00355
AC1001,FL00356
AC1001,FL00357
AC1001,FL00358
AC1001,FL00359
AC1001,FL00360
AC1001,FL00361
AC1001,FL00362
AC1001,FL00363
AC1001,FL00364
AC1001,FL00365
AC1001,FL00366
AC1001,FL00367
AC1001,FL00368
AC1001,FL00369
AC1001,FL00370
AC1001,FL00371
AC1001,FL00372
AC1001,FL00373
AC1001,FL00374
AC1001,FL00375
AC1002,FL00376
AC1002,FL00377
AC1002,FL00378
AC1002,FL00379
AC1002,FL00380
AC1002,FL00381
AC1002,FL00382
AC1002,FL00383
AC1002,FL00384
AC1002,FL00385
AC1002,FL00386
AC1002,FL00387
AC1002,FL00388
AC1002,FL00389
AC1002,FL00390
AC1002,FL00391
AC1002,FL00392
AC1002,FL00393
AC1002,FL00394
AC1002,FL00395
AC1002,FL00396
AC1002,FL00397
AC1002,FL00398
AC1002,FL00399
AC1002,FL00400
AC1002,FL00401
AC1002,FL00402
AC1002,FL00403
AC1002,FL00404
AC1002,FL00405
AC1002,FL00406
AC1002,FL00407
AC1002,FL00408
AC1002,FL00409
AC1002,FL00410
AC1002,FL00411
AC1002,FL00412
AC1002,FL00413
AC1002,FL00414
AC1002,FL00415
AC1002,FL00416
AC1002,FL00417
AC1002,FL00418
AC1002,FL00419
AC1002,FL00420
AC1002,FL00421
AC1002,FL00422
AC1002,FL00423
AC1002,FL00424
AC1002,FL00425
AC1002,FL00426
AC1002,FL00427
AC1002,FL00428
AC1002,FL00429
AC1002,FL00430
AC1002,FL00431
AC1002,FL00432
AC1002,FL00433
AC1002,FL00434
AC1002,FL00435
AC1002,FL00436
AC1002,FL00437
AC1002,FL00438
AC1002,FL00439
AC1002,FL00440
AC1002,FL00441
AC1002,FL00442
AC1002,FL00443
AC1002,FL00444
AC1002,FL00445
AC1002,FL00446
AC1002,FL00447
AC1002,FL00448
AC1002,FL00449
AC1002,FL00450
AC1002,FL00451
AC1002,FL00452
AC1002,FL00453
AC1002,FL00454
AC1002,FL00455
AC1002,FL00456
AC1002,FL00457
AC1002,FL00458
AC1002,FL00459
AC1002,FL00460
AC1002,FL00461
AC1002,FL00462
AC1002,FL00463
AC1002,FL00464
AC1002,FL00465
AC1002,FL00466
AC1002,FL00467
AC1002,FL00468
AC1002,FL00469
AC1002,FL00470
AC1002,FL00471
AC1002,FL00472
AC1002,FL00473
AC1002,FL00474
AC1002,FL00475
AC1002,FL00476
AC1002,FL00477
AC1002,FL00478
AC1002,FL00479
AC1002,FL00480
AC1002,FL00481
AC1002,FL00482
AC1002,FL00483
AC1002,FL00484
AC1002,FL00485
AC1002,FL00486
AC1002,FL00487
AC1002,FL00488
AC1002,FL00489
AC1002,FL00490
AC1002,FL00491
AC1002,FL00492
AC1002,FL00493
AC1002,FL00494
AC1002,FL00495
AC1002,FL00496
AC1002,FL00497
AC1002,FL00498
AC1002,FL00499
AC1002,FL00500
AC1002,FL00501
AC1002,FL00502
AC1002,FL00503
AC1002,FL00504
AC1002,FL00505
AC1002,FL00506
AC1002,FL00507
AC1002,FL00508
AC1002,FL00509
AC1002,FL00510
AC1002,FL00511
AC1002,FL00512
AC1002,FL00513
AC1002,FL00514
AC1002,FL00515
AC1002,FL00516
AC1002,FL00517
AC1002,FL00518
AC1002,FL00519
AC1002,FL00520
AC1002,FL00521
AC1002,FL00522
AC1002,FL00523
AC1002,FL00524
AC1002,FL00525
AC1002,FL00526
AC1002,FL00527
AC1002,FL00528
AC1002,FL00529
AC1002,FL00530
AC1002,FL00531
AC1002,FL00532
AC1002,FL00533
AC1002,FL00534
AC1002,FL00535
AC1002,FL00536
AC1002,FL00537
AC1002,FL00538
AC1002,FL00539
AC1002,FL00540
AC1002,FL00541
AC1002,FL00542
AC1002,FL00543
AC1002,FL00544
AC1002,FL00545
AC1002,FL00546
AC1002,FL00547
AC1002,FL00548
AC1002,FL00549
AC1002,FL00550
AC1002,FL00551
AC1002,FL00552
AC1002,FL00553
AC1002,FL00554
AC1002,FL00555
AC1002,FL00556
AC1002,FL00557
AC1002,FL00558
AC1002,FL00559
AC1002,FL00560
AC1002,FL00561
AC1002,FL00562
AC1002,FL00563
AC1002,FL00564
AC1002,FL00565
AC1002,FL00566
AC1002,FL00567
AC1002,FL00568
AC1002,FL00569
AC1002,FL00570
AC1002,FL00571
AC1002,FL00572
AC1002,FL00573
AC1002,FL00574
AC1002,FL00575
AC1002,FL00576
AC1002,FL00577
AC1002,FL00578
AC1002,FL00579
AC1002,FL00580
AC1002,FL00581
AC1002,FL00582
AC1002,FL00583
AC1002,FL00584
AC1002,FL00585
AC1002,FL00586
AC1002,FL00587
AC1002,FL00588
AC1002,FL00589
AC1002,FL00590
AC1002,FL00591
AC1002,FL00592
AC1002,FL00593
AC1002,FL00594
AC1002,FL00595
AC1002,FL00596
AC1002,FL00597
AC1002,FL00598
AC1002,FL00599
AC1002,FL00600
AC1002,FL00601
AC1002,FL00602
AC1002,FL00603
AC1002,FL00604
AC1002,FL00605
AC1002,FL00606
AC1002,FL00607
AC1002,FL00608
AC1002,FL00609
AC1002,FL00610
AC1002,FL00611
AC1002,FL00612
AC1002,FL00613
AC1002,FL00614
AC1002,FL00615
AC1002,FL00616
AC1002,FL00617
AC1002,FL00618
AC1002,FL00619
AC1002,FL00620
AC1002,FL00621
AC1002,FL00622
AC1002,FL00623
AC1002,FL00624
AC1002,FL00625
AC1002,FL00626
AC1002,FL00627
AC1002,FL00628
AC1002,FL00629
AC1002,FL00630
AC1002,FL00631
AC1002,FL00632
AC1002,FL00633
AC1002,FL00634
AC1002,FL00635
AC1002,FL00636
AC1002,FL00637
AC1002,FL00638
AC1002,FL00639
AC1002,FL00640
AC1002,FL00641
AC1002,FL00642
AC1002,FL00643
AC1002,FL00644
AC1002,FL00645
AC1002,FL00646
AC1002,FL00647
AC1002,FL00648
AC1002,FL00649
AC1002,FL00650
AC1002,FL00651
AC1002,FL00652
AC1002,FL00653
AC1002,FL00654
AC1002,FL00655
AC1002,FL00656
AC1002,FL00657
AC1002,FL00658
AC1002,FL00659
AC1002,FL00660
AC1002,FL00661
AC1002,FL00662
AC1002,FL00663
AC1002,FL00664
AC1002,FL00665
AC1002,FL00666
AC1002,FL00667
AC1002,FL00668
AC1002,FL00669
AC1002,FL00670
AC1002,FL00671
AC1002,FL00672
AC1002,FL00673
AC1002,FL00674
AC1002,FL00675
AC1002,FL00676
AC1002,FL00677
AC1002,FL00678
AC1002,FL00679
AC1002,FL00680
AC1002,FL00681
AC1002,FL00682
AC1002,FL00683
AC1002,FL00684
AC1002,FL00685
AC1002,FL00686
AC1002,FL00687
AC1002,FL00688
AC1002,FL00689
AC1002,FL00690
AC1002,FL00691
AC1002,FL00692
AC1002,FL00693
AC1002,FL00694
